Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
158,20.65,12.98%,0.0042,0.075472446
158 Sum,,,,0.075472446
159,4.31,11.48%,0.0021,0.0080119452
159 Sum,,,,0.0080119452
160,15.91,24.35%,0.0023,0.0276826045
160 Sum,,,,0.0276826045
161,17.97,19.94%,0.0061,0.0877593702
161 Sum,,,,0.0877593702
162,15.48,6.93%,0.0016,0.0230515776
162 Sum,,,,0.0230515776
163,18.75,4.93%,0.0017,0.0303035625
163 Sum,,,,0.0303035625
164,6.65,27.29%,0.0047,0.0227255105
164 Sum,,,,0.0227255105
165,15.94,13.04%,0.0002,0.0027722848
165 Sum,,,,0.0027722848
166,6.64,30.41%,0,0
166 Sum,,,,0
167,17.29,35.48%,0.0092,0.1026306736
167 Sum,,,,0.1026306736
168,21,38.65%,0.0076,0.0979146
168 Sum,,,,0.0979146
169,5.07,26.56%,0.0091,0.0338830128
169 Sum,,,,0.0338830128
170,2.62,26.87%,0.0023,0.0044068138
170 Sum,,,,0.0044068138
171,16.14,22.56%,0.0064,0.0799924224
171 Sum,,,,0.0799924224
172,1.96,26.50%,0.003,0.0043218
172 Sum,,,,0.0043218
173,10.48,29.41%,0.0076,0.0562235232
173 Sum,,,,0.0562235232
174,20.01,36.15%,0.009,0.114987465
174 Sum,,,,0.114987465
175,7.4,26.02%,0.0067,0.036679284
175 Sum,,,,0.036679284
176,23.68,30.66%,0.0045,0.073888704
176 Sum,,,,0.073888704
177,4.8,36.15%,0.0096,0.02942208
177 Sum,,,,0.02942208
178,7.34,39.28%,0.0044,0.0196101312
178 Sum,,,,0.0196101312
179,21.63,24.63%,0.0092,0.1499832852
179 Sum,,,,0.1499832852
180,6.29,4.94%,0.0016,0.0095668384
180 Sum,,,,0.0095668384
181,15.18,15.49%,0.003,0.038485854
181 Sum,,,,0.038485854
182,22.72,1.53%,0.0002,0.0044744768
182 Sum,,,,0.0044744768
183,13.28,17.18%,0.0059,0.0648911264
183 Sum,,,,0.0648911264
184,2.47,31.07%,0.0046,0.0078318266
184 Sum,,,,0.0078318266
185,18.02,14.60%,0.0055,0.08463994
185 Sum,,,,0.08463994
186,18.3,36.79%,0.0054,0.062464122
186 Sum,,,,0.062464122
187,10.47,22.89%,0.0062,0.0500551854
187 Sum,,,,0.0500551854
188,23.76,0.11%,0.0017,0.0403475688
188 Sum,,,,0.0403475688
189,9.02,28.30%,0.0046,0.029749764
189 Sum,,,,0.029749764
190,10.52,28.79%,0.0057,0.0427003644
190 Sum,,,,0.0427003644
191,16.75,22.87%,0.0047,0.0607205925
191 Sum,,,,0.0607205925
192,8.05,28.58%,0.0016,0.009198896
192 Sum,,,,0.009198896
193,23.17,26.33%,0.0067,0.1143645713
193 Sum,,,,0.1143645713
194,3.37,11.42%,0.0055,0.016418303
194 Sum,,,,0.016418303
195,8.79,38.51%,0.0049,0.0264843579
195 Sum,,,,0.0264843579
196,5.81,2.84%,0.0075,0.04233747
196 Sum,,,,0.04233747
197,21.12,31.13%,0.0062,0.0901811328
197 Sum,,,,0.0901811328
198,1.61,15.47%,0.0066,0.0089821578
198 Sum,,,,0.0089821578
199,5.69,7.61%,0.003,0.015770973
199 Sum,,,,0.015770973
200,13.74,30.89%,0.0062,0.0588734268
200 Sum,,,,0.0588734268
201,14.14,4.67%,0.0039,0.0525706818
201 Sum,,,,0.0525706818
202,18.39,6.44%,0.0059,0.1015135356
202 Sum,,,,0.1015135356
203,12.38,6.97%,0.001,0.011517114
203 Sum,,,,0.011517114
204,16.33,21.12%,0.0009,0.0115929936
204 Sum,,,,0.0115929936
205,14.06,20.09%,0.0044,0.0494355224
205 Sum,,,,0.0494355224
206,1.5,14.73%,0.001,0.00127905
206 Sum,,,,0.00127905
207,19.49,20.49%,0.0099,0.1534153401
207 Sum,,,,0.1534153401
208,11.41,12.84%,0.003,0.029834868
208 Sum,,,,0.029834868
209,21.18,37.26%,0.0092,0.1222526544
209 Sum,,,,0.1222526544
210,19.71,18.65%,0.0054,0.086584059
210 Sum,,,,0.086584059
211,3.62,7.53%,0.0023,0.0076990522
211 Sum,,,,0.0076990522
212,8.08,16.41%,0.0058,0.0391736176
212 Sum,,,,0.0391736176
213,14.72,23.82%,0.008,0.089709568
213 Sum,,,,0.089709568
214,15.17,38.68%,0.0014,0.0130231416
214 Sum,,,,0.0130231416
215,13.1,12.87%,0.007,0.07989821
215 Sum,,,,0.07989821
216,18.51,35.35%,0.0097,0.1160771355
216 Sum,,,,0.1160771355
217,9.59,3.24%,0.0012,0.0111351408
217 Sum,,,,0.0111351408
218,8.53,33.21%,0.0017,0.0096852179
218 Sum,,,,0.0096852179
219,10.46,1.37%,0.0064,0.0660268672
219 Sum,,,,0.0660268672
220,14.35,3.28%,0.0093,0.129077676
220 Sum,,,,0.129077676
221,7.34,3.79%,0.0042,0.0296596188
221 Sum,,,,0.0296596188
222,9.67,4.09%,0.0059,0.0547195323
222 Sum,,,,0.0547195323
223,10.57,4.11%,0.0079,0.0800710267
223 Sum,,,,0.0800710267
224,16.45,20.32%,0.0078,0.102237408
224 Sum,,,,0.102237408
225,22.45,11.58%,0.0081,0.160787349
225 Sum,,,,0.160787349
226,8.69,19.33%,0.0089,0.0623909847
226 Sum,,,,0.0623909847
227,14.71,31.61%,0.002,0.020120338
227 Sum,,,,0.020120338
228,11.3,34.09%,0,0
228 Sum,,,,0
229,9.45,14.12%,0.004,0.03246264
229 Sum,,,,0.03246264
230,19.75,38.81%,0.0023,0.0277955575
230 Sum,,,,0.0277955575
231,9.31,34.71%,0.0013,0.0079020487
231 Sum,,,,0.0079020487
232,1.87,37.17%,0.0051,0.0059920971
232 Sum,,,,0.0059920971
233,6.28,13.94%,0.0048,0.0259419264
233 Sum,,,,0.0259419264
234,23.05,27.71%,0.0009,0.0149965605
234 Sum,,,,0.0149965605
235,17.28,17.96%,0.0022,0.0311883264
235 Sum,,,,0.0311883264
236,2.98,35.28%,0.0076,0.0146577856
236 Sum,,,,0.0146577856
237,0.09,33.54%,0.0057,0.0003409398
237 Sum,,,,0.0003409398
238,2.34,27.12%,0.0064,0.0109145088
238 Sum,,,,0.0109145088
239,7.24,25.80%,0.0008,0.004297664
239 Sum,,,,0.004297664
240,14.18,28.87%,0.0011,0.0110948574
240 Sum,,,,0.0110948574
241,19.89,27.58%,0.0056,0.0806642928
241 Sum,,,,0.0806642928
242,4.61,30.67%,0.0083,0.0265277379
242 Sum,,,,0.0265277379
243,22.55,19.51%,0.0039,0.0707869305
243 Sum,,,,0.0707869305
244,14.7,34.72%,0.0019,0.018232704
244 Sum,,,,0.018232704
245,9.6,5.04%,0.0037,0.033729792
245 Sum,,,,0.033729792
246,1.51,27.56%,0.0061,0.0066724484
246 Sum,,,,0.0066724484
247,22.18,17.54%,0.0006,0.0109737768
247 Sum,,,,0.0109737768
248,19.02,34.45%,0.0019,0.023688459
248 Sum,,,,0.023688459
249,0.3,35.13%,0.0018,0.000350298
249 Sum,,,,0.000350298
250,2.17,2.64%,0.0059,0.0124650008
250 Sum,,,,0.0124650008
251,20.63,36.87%,0.004,0.052094876
251 Sum,,,,0.052094876
252,12.63,24.75%,0.0007,0.0066528525
252 Sum,,,,0.0066528525
253,23.51,31.82%,0.0082,0.1314387676
253 Sum,,,,0.1314387676
254,13.39,6.91%,0.0004,0.0049859004
254 Sum,,,,0.0049859004
255,12.51,38.56%,0.0015,0.011529216
255 Sum,,,,0.011529216
256,21.75,2.25%,0.0093,0.1977238125
256 Sum,,,,0.1977238125
257,2.08,36.27%,0.0062,0.0082186208
257 Sum,,,,0.0082186208
258,0.82,16.07%,0.0031,0.0021335006
258 Sum,,,,0.0021335006
259,9.8,4.90%,0.0077,0.07176246
259 Sum,,,,0.07176246
260,14.3,37.01%,0.0013,0.011709841
260 Sum,,,,0.011709841
261,23.06,24.36%,0.0047,0.0819801448
261 Sum,,,,0.0819801448
262,3.57,13.95%,0.0036,0.011059146
262 Sum,,,,0.011059146
263,0.52,12.56%,0.0095,0.004319536
263 Sum,,,,0.004319536
264,5.25,25.19%,0.0038,0.014924595
264 Sum,,,,0.014924595
265,5.03,37.77%,0.0024,0.0075124056
265 Sum,,,,0.0075124056
266,14.67,38.05%,0.0027,0.0245377755
266 Sum,,,,0.0245377755
267,20.59,28.61%,0.005,0.073496005
267 Sum,,,,0.073496005
268,22.42,20.89%,0.0001,0.0017736462
268 Sum,,,,0.0017736462
269,18.79,26.90%,0.001,0.01373549
269 Sum,,,,0.01373549
270,22.11,30.98%,0.0043,0.0656193846
270 Sum,,,,0.0656193846
271,2.55,16.07%,0.0081,0.0173357415
271 Sum,,,,0.0173357415
272,5.04,10.19%,0.0026,0.0117687024
272 Sum,,,,0.0117687024
273,2.31,10.09%,0.0093,0.0193153653
273 Sum,,,,0.0193153653
274,15.37,31.97%,0.0004,0.0041824844
274 Sum,,,,0.0041824844
275,21.05,29.96%,0.0013,0.019166446
275 Sum,,,,0.019166446
276,23,31.16%,0.0051,0.08074932
276 Sum,,,,0.08074932
277,14.81,30.02%,0.0085,0.088094323
277 Sum,,,,0.088094323
278,22.92,37.66%,0.0067,0.0957317976
278 Sum,,,,0.0957317976
279,16.32,10.00%,0.0076,0.1116288
279 Sum,,,,0.1116288
280,20.65,25.77%,0.0012,0.018394194
280 Sum,,,,0.018394194
281,6.99,15.28%,0.0073,0.0432300744
281 Sum,,,,0.0432300744
282,12.09,8.21%,0.0089,0.0987669579
282 Sum,,,,0.0987669579
283,18.62,1.06%,0.0012,0.0221071536
283 Sum,,,,0.0221071536
284,9.49,20.89%,0.0077,0.0578080503
284 Sum,,,,0.0578080503
285,10.81,0.90%,0.0068,0.072846428
285 Sum,,,,0.072846428
286,3.06,2.92%,0.0046,0.0136649808
286 Sum,,,,0.0136649808
287,7.65,11.79%,0.0073,0.0492608745
287 Sum,,,,0.0492608745
288,18.67,33.79%,0.002,0.024722814
288 Sum,,,,0.024722814
289,9.98,19.38%,0.0058,0.0466660808
289 Sum,,,,0.0466660808
290,11.76,13.70%,0.0054,0.054803952
290 Sum,,,,0.054803952
291,13.94,25.68%,0.0039,0.0404048112
291 Sum,,,,0.0404048112
292,9.54,35.38%,0.0051,0.0314402148
292 Sum,,,,0.0314402148
293,1.52,37.79%,0.0019,0.0017966248
293 Sum,,,,0.0017966248
294,13.13,16.92%,0.0088,0.0959939552
294 Sum,,,,0.0959939552
295,19.85,31.76%,0.0089,0.120556196
295 Sum,,,,0.120556196
296,9.46,3.70%,0.0031,0.028240938
296 Sum,,,,0.028240938
297,14.66,7.87%,0.0061,0.0823881738
297 Sum,,,,0.0823881738
298,6.46,39.48%,0.0033,0.0129016536
298 Sum,,,,0.0129016536
299,14.97,34.05%,0.0092,0.090828978
299 Sum,,,,0.090828978
300,3.22,21.69%,0.0091,0.0229463962
300 Sum,,,,0.0229463962
301,20.57,24.25%,0.0064,0.09972336
301 Sum,,,,0.09972336
302,17.22,21.78%,0.0094,0.1266131496
302 Sum,,,,0.1266131496
303,8.43,21.13%,0.0054,0.0359032014
303 Sum,,,,0.0359032014
304,10.55,28.77%,0.001,0.007514765
304 Sum,,,,0.007514765
305,21.27,37.56%,0.0052,0.0690611376
305 Sum,,,,0.0690611376
306,13.69,14.89%,0.0059,0.0687441981
306 Sum,,,,0.0687441981
307,12.25,31.68%,0.0096,0.08034432
307 Sum,,,,0.08034432
308,3.38,10.36%,0.0063,0.0190879416
308 Sum,,,,0.0190879416
309,1.66,23.75%,0.0045,0.005695875
309 Sum,,,,0.005695875
310,7.41,3.09%,0.0084,0.0603206604
310 Sum,,,,0.0603206604
311,6.07,25.04%,0.0024,0.0109201728
311 Sum,,,,0.0109201728
312,8.11,2.37%,0.0002,0.0015835586
312 Sum,,,,0.0015835586
313,20.6,10.27%,0.0087,0.160814106
313 Sum,,,,0.160814106
314,13.4,16.68%,0.0096,0.107182848
314 Sum,,,,0.107182848
315,18.16,18.82%,0.006,0.088453728
315 Sum,,,,0.088453728
316,10.29,26.62%,0.0013,0.0098160426
316 Sum,,,,0.0098160426
317,2.98,23.74%,0.0025,0.00568137
317 Sum,,,,0.00568137
318,13.91,14.85%,0.0059,0.0698817535
318 Sum,,,,0.0698817535
319,6.81,33.82%,0.0003,0.0013520574
319 Sum,,,,0.0013520574
320,5.88,20.22%,0.002,0.009382128
320 Sum,,,,0.009382128
321,14.15,33.38%,0.0007,0.006598711
321 Sum,,,,0.006598711
322,24.88,32.24%,0.0059,0.0994662592
322 Sum,,,,0.0994662592
323,12.32,12.58%,0.0084,0.0904692096
323 Sum,,,,0.0904692096
324,3.73,4.23%,0.0066,0.0235766586
324 Sum,,,,0.0235766586
325,5.62,5.11%,0.0069,0.0367964442
325 Sum,,,,0.0367964442
326,18.25,0.93%,0.0056,0.10124954
326 Sum,,,,0.10124954
327,6.13,22.96%,0.0028,0.0132231456
327 Sum,,,,0.0132231456
328,13.23,10.68%,0.0076,0.0898094736
328 Sum,,,,0.0898094736
329,19.28,30.00%,0.0068,0.0917728
329 Sum,,,,0.0917728
330,13.28,7.09%,0.0063,0.0777322224
330 Sum,,,,0.0777322224
331,3.84,37.28%,0.0048,0.0115605504
331 Sum,,,,0.0115605504
332,21.84,13.71%,0.0092,0.1733807712
332 Sum,,,,0.1733807712
333,17.91,8.13%,0.0082,0.1349221194
333 Sum,,,,0.1349221194
334,3.67,13.90%,0.0085,0.026858895
334 Sum,,,,0.026858895
335,19.08,23.12%,0.0002,0.0029337408
335 Sum,,,,0.0029337408
336,20.58,38.02%,0.0065,0.082910646
336 Sum,,,,0.082910646
337,0.99,30.33%,0.0092,0.0063455436
337 Sum,,,,0.0063455436
338,9.13,38.84%,0.0033,0.0184268964
338 Sum,,,,0.0184268964
339,24.23,6.66%,0.0099,0.2239011918
339 Sum,,,,0.2239011918
340,10.97,39.52%,0.0085,0.056394576
340 Sum,,,,0.056394576
341,20.23,10.89%,0.0096,0.1730587488
341 Sum,,,,0.1730587488
342,8.49,20.49%,0.0046,0.0310518354
342 Sum,,,,0.0310518354
343,21.12,20.01%,0.0036,0.0608179968
343 Sum,,,,0.0608179968
344,3.78,3.90%,0.0011,0.003995838
344 Sum,,,,0.003995838
345,16.1,22.54%,0.0052,0.064849512
345 Sum,,,,0.064849512
346,3.89,13.68%,0.0047,0.0157818856
346 Sum,,,,0.0157818856
347,9.09,18.02%,0.0011,0.0081971802
347 Sum,,,,0.0081971802
348,3.51,29.99%,0.0076,0.0186758676
348 Sum,,,,0.0186758676
349,15.73,33.88%,0.001,0.010400676
349 Sum,,,,0.010400676
350,1.62,4.79%,0.0048,0.0074035296
350 Sum,,,,0.0074035296
351,12.02,15.49%,0.0027,0.0274268754
351 Sum,,,,0.0274268754
352,18.82,33.52%,0.0012,0.0150138432
352 Sum,,,,0.0150138432
353,8.81,8.92%,0.0083,0.0666004284
353 Sum,,,,0.0666004284
354,16.97,33.43%,0.0085,0.0960238965
354 Sum,,,,0.0960238965
355,8.23,7.45%,0.0017,0.0129486705
355 Sum,,,,0.0129486705
356,4.61,28.55%,0.0049,0.0161398405
356 Sum,,,,0.0161398405
357,5.21,34.67%,0.0077,0.0262084361
357 Sum,,,,0.0262084361
358,21.55,27.47%,0.0059,0.0922182685
358 Sum,,,,0.0922182685
359,8.45,8.21%,0.0035,0.0271468925
359 Sum,,,,0.0271468925
360,10.16,17.22%,0.0059,0.0496216432
360 Sum,,,,0.0496216432
361,20.56,10.63%,0.0085,0.156183012
361 Sum,,,,0.156183012
362,12.55,1.86%,0.0006,0.007389942
362 Sum,,,,0.007389942
363,14.71,6.77%,0.002,0.027428266
363 Sum,,,,0.027428266
364,0.48,18.77%,0.0065,0.002534376
364 Sum,,,,0.002534376
365,15.17,28.94%,0.0024,0.0258715248
365 Sum,,,,0.0258715248
366,2.03,25.03%,0.0024,0.0036525384
366 Sum,,,,0.0036525384
